
=== ORIGINAL: Original PDF/Dummy App (5).pdf ===
  L: (566.3, 336.3) -> (538.4, 336.3) | color=None | fill=(1.0, 1.0, 1.0) | width=None
  L: (538.4, 336.3) -> (538.4, 277.4) | color=None | fill=(1.0, 1.0, 1.0) | width=None
  L: (538.4, 277.4) -> (86.8, 277.4) | color=None | fill=(1.0, 1.0, 1.0) | width=None
  L: (86.8, 277.4) -> (86.8, 336.3) | color=None | fill=(1.0, 1.0, 1.0) | width=None
  L: (86.8, 336.3) -> (28.6, 336.3) | color=None | fill=(1.0, 1.0, 1.0) | width=None
  L: (28.6, 336.3) -> (28.6, 217.1) | color=None | fill=(1.0, 1.0, 1.0) | width=None
  L: (28.6, 217.1) -> (566.3, 217.1) | color=None | fill=(1.0, 1.0, 1.0) | width=None
  L: (566.3, 217.1) -> (566.3, 336.3) | color=None | fill=(1.0, 1.0, 1.0) | width=None
  R: Rect(28.604999542236328, 217.09100341796875, 566.302978515625, 237.0570068359375) | color=None | fill=(0.7450000047683716, 0.875, 0.968999981880188) | width=None
  L: (28.6, 217.1) -> (28.6, 237.1) | color=(0.0, 0.0, 0.0) | fill=None | width=0.5170000195503235
  L: (28.6, 237.1) -> (566.3, 237.1) | color=(0.0, 0.0, 0.0) | fill=None | width=0.5170000195503235
  L: (566.3, 217.1) -> (566.3, 237.1) | color=(0.0, 0.0, 0.0) | fill=None | width=0.5170000195503235
  L: (28.6, 237.1) -> (28.6, 282.3) | color=(0.0, 0.0, 0.0) | fill=None | width=0.5170000195503235
  L: (28.6, 282.3) -> (86.8, 282.3) | color=(0.0, 0.0, 0.0) | fill=None | width=0.5170000195503235
  L: (99.4, 237.1) -> (99.4, 277.4) | color=(0.0, 0.0, 0.0) | fill=None | width=0.5170000195503235
  L: (28.6, 237.1) -> (99.4, 237.1) | color=(0.0, 0.0, 0.0) | fill=None | width=0.5170000195503235
  L: (28.6, 282.3) -> (28.6, 309.3) | color=(0.0, 0.0, 0.0) | fill=None | width=0.5170000195503235
  L: (28.6, 309.3) -> (86.8, 309.3) | color=(0.0, 0.0, 0.0) | fill=None | width=0.5170000195503235
  L: (28.6, 282.3) -> (86.8, 282.3) | color=(0.0, 0.0, 0.0) | fill=None | width=0.5170000195503235
  L: (28.6, 309.3) -> (28.6, 336.3) | color=(0.0, 0.0, 0.0) | fill=None | width=0.5170000195503235
  L: (28.6, 336.3) -> (86.8, 336.3) | color=(0.0, 0.0, 0.0) | fill=None | width=0.5170000195503235
  L: (28.6, 309.3) -> (86.8, 309.3) | color=(0.0, 0.0, 0.0) | fill=None | width=0.5170000195503235
  L: (99.4, 237.1) -> (99.4, 277.4) | color=(0.0, 0.0, 0.0) | fill=None | width=0.5170000195503235
  L: (170.3, 237.1) -> (170.3, 277.4) | color=(0.0, 0.0, 0.0) | fill=None | width=0.5170000195503235
  L: (99.4, 237.1) -> (170.3, 237.1) | color=(0.0, 0.0, 0.0) | fill=None | width=0.5170000195503235
  L: (170.3, 237.1) -> (170.3, 277.4) | color=(0.0, 0.0, 0.0) | fill=None | width=0.5170000195503235
  L: (241.1, 237.1) -> (241.1, 277.4) | color=(0.0, 0.0, 0.0) | fill=None | width=0.5170000195503235
  L: (170.3, 237.1) -> (241.1, 237.1) | color=(0.0, 0.0, 0.0) | fill=None | width=0.5170000195503235
  L: (241.1, 237.1) -> (241.1, 277.4) | color=(0.0, 0.0, 0.0) | fill=None | width=0.5170000195503235
  L: (311.9, 237.1) -> (311.9, 277.4) | color=(0.0, 0.0, 0.0) | fill=None | width=0.5170000195503235
  L: (241.1, 237.1) -> (311.9, 237.1) | color=(0.0, 0.0, 0.0) | fill=None | width=0.5170000195503235
  L: (311.9, 237.1) -> (311.9, 277.4) | color=(0.0, 0.0, 0.0) | fill=None | width=0.5170000195503235
  L: (382.8, 237.1) -> (382.8, 277.4) | color=(0.0, 0.0, 0.0) | fill=None | width=0.5170000195503235
  L: (311.9, 237.1) -> (382.8, 237.1) | color=(0.0, 0.0, 0.0) | fill=None | width=0.5170000195503235
  L: (382.8, 237.1) -> (382.8, 277.4) | color=(0.0, 0.0, 0.0) | fill=None | width=0.5170000195503235
  L: (495.5, 237.1) -> (495.5, 277.4) | color=(0.0, 0.0, 0.0) | fill=None | width=0.5170000195503235
  L: (382.8, 237.1) -> (495.5, 237.1) | color=(0.0, 0.0, 0.0) | fill=None | width=0.5170000195503235
  L: (495.5, 237.1) -> (495.5, 277.4) | color=(0.0, 0.0, 0.0) | fill=None | width=0.5170000195503235
  L: (538.4, 282.3) -> (566.3, 282.3) | color=(0.0, 0.0, 0.0) | fill=None | width=0.5170000195503235
  L: (566.3, 237.1) -> (566.3, 282.3) | color=(0.0, 0.0, 0.0) | fill=None | width=0.5170000195503235
  L: (495.5, 237.1) -> (566.3, 237.1) | color=(0.0, 0.0, 0.0) | fill=None | width=0.5170000195503235
  L: (538.4, 309.3) -> (566.3, 309.3) | color=(0.0, 0.0, 0.0) | fill=None | width=0.5170000195503235
  L: (566.3, 282.3) -> (566.3, 309.3) | color=(0.0, 0.0, 0.0) | fill=None | width=0.5170000195503235
  L: (538.4, 282.3) -> (566.3, 282.3) | color=(0.0, 0.0, 0.0) | fill=None | width=0.5170000195503235
  L: (538.4, 336.3) -> (566.3, 336.3) | color=(0.0, 0.0, 0.0) | fill=None | width=0.5170000195503235
  L: (566.3, 309.3) -> (566.3, 336.3) | color=(0.0, 0.0, 0.0) | fill=None | width=0.5170000195503235
  L: (538.4, 309.3) -> (566.3, 309.3) | color=(0.0, 0.0, 0.0) | fill=None | width=0.5170000195503235
  R: Rect(28.62700080871582, 341.75, 566.6530151367188, 410.14398193359375) | color=None | fill=(1.0, 1.0, 1.0) | width=None
  L: (28.6, 341.8) -> (28.6, 380.9) | color=(0.0, 0.0, 0.0) | fill=None | width=0.5609999895095825
  L: (163.2, 341.8) -> (163.2, 380.9) | color=(0.0, 0.0, 0.0) | fill=None | width=0.5609999895095825
  L: (28.6, 341.8) -> (163.2, 341.8) | color=(0.0, 0.0, 0.0) | fill=None | width=0.5609999895095825
  L: (163.2, 341.8) -> (163.2, 380.9) | color=(0.0, 0.0, 0.0) | fill=None | width=0.5609999895095825
