
=== Page 0 ===
  Rect(28.3, 28.3, 566.9, 142.5) W=538.6 H=114.2 fill=(1.0, 1.0, 1.0) color=None
  Rect(189.9, 28.3, 405.4, 35.6) W=215.6 H=7.3 fill=(1.0, 1.0, 1.0) color=None
  Rect(28.6, 144.3, 566.7, 354.0) W=538.0 H=209.7 fill=(1.0, 1.0, 1.0) color=None
  Rect(28.6, 144.3, 566.7, 167.3) W=538.0 H=23.0 fill=(0.7450000047683716, 0.875, 0.968999981880188) color=None
  Rect(28.6, 378.2, 566.7, 564.9) W=538.0 H=186.7 fill=(1.0, 1.0, 1.0) color=None
  Rect(28.6, 629.0, 566.7, 693.4) W=538.0 H=64.5 fill=(1.0, 1.0, 1.0) color=None
  Rect(28.6, 629.0, 566.7, 652.0) W=538.0 H=23.0 fill=(0.7450000047683716, 0.875, 0.968999981880188) color=None
  Rect(28.6, 697.7, 566.7, 720.7) W=538.0 H=23.0 fill=(1.0, 1.0, 1.0) color=None
  Rect(28.6, 697.7, 566.7, 720.7) W=538.0 H=23.0 fill=(0.7450000047683716, 0.875, 0.968999981880188) color=None
  Rect(28.6, 725.0, 566.7, 748.0) W=538.0 H=23.0 fill=(1.0, 1.0, 1.0) color=None
  Rect(28.6, 753.8, 566.7, 836.5) W=538.0 H=82.7 fill=(1.0, 1.0, 1.0) color=None
  Rect(188.3, 35.6, 573.3, 147.2) W=385.1 H=111.6 fill=(0.0, 0.0, 0.0) color=None
  Rect(301.4, 168.9, 422.2, 351.7) W=120.9 H=182.8 fill=(0.0, 0.0, 0.0) color=None
  Rect(300.6, 378.9, 371.9, 560.9) W=71.3 H=182.1 fill=(0.0, 0.0, 0.0) color=None

=== Page 1 ===
  Rect(28.6, 28.6, 566.7, 173.8) W=538.0 H=145.2 fill=(1.0, 1.0, 1.0) color=None
  Rect(28.6, 179.6, 566.7, 407.8) W=538.0 H=228.2 fill=(1.0, 1.0, 1.0) color=None
  Rect(28.6, 432.0, 566.7, 475.7) W=538.0 H=43.7 fill=(1.0, 1.0, 1.0) color=None
  Rect(28.6, 432.0, 566.7, 455.0) W=538.0 H=23.0 fill=(0.7450000047683716, 0.875, 0.968999981880188) color=None
